,ep_best_fitness,gen_found_at,time_found_at,avg_waste,avg_cost
0,1681.0,4,76.01561212539673,97.89473684210526,1722.7894736842106
0,1712.5,2,42.81779074668884,237.76470588235293,1750.8529411764705
0,1718.5,0,29.339147806167603,75.5,1745.05
0,1715.5,2,59.193989276885986,257.14285714285717,1760.5
0,1689.5,16,275.36217999458313,152.42105263157896,1731.0263157894738
0,1681.0,8,127.24208450317383,171.42105263157896,1732.3947368421052
0,1729.5,3,94.45525765419006,111.05263157894737,1747.7631578947369
0,1720.5,1,44.942734479904175,151.6,1747.95
0,1737.0,9,269.79393553733826,87.54545454545455,1744.6818181818182
0,1709.0,16,311.1724717617035,155.76470588235293,1755.0
0,1704.0,14,241.50253415107727,119.78947368421052,1738.5526315789473
0,1741.0,5,106.29419612884521,124.18181818181819,1756.6363636363637
0,1739.5,2,99.75704097747803,85.28571428571429,1751.7142857142858
0,1761.0,8,233.47188591957092,132.0,1768.8636363636363
0,1704.5,12,236.5334165096283,116.73684210526316,1742.2894736842106
0,1696.5,3,137.27153158187866,124.27272727272727,1737.0
0,1742.0,4,207.00989627838135,136.75,1765.3125
0,1705.0,1,97.26647686958313,137.42857142857142,1732.142857142857
0,1735.0,1,64.60218834877014,90.38461538461539,1749.8461538461538
0,1740.5,9,336.33666229248047,135.2,1754.55
0,1700.5,10,290.1259799003601,184.30769230769232,1755.3846153846155
0,1744.5,4,176.77166271209717,231.75,1767.25
0,1735.5,2,78.5597915649414,80.2,1747.2
0,1727.5,2,74.39301204681396,186.0909090909091,1749.7272727272727
0,1738.5,2,117.13223028182983,119.28571428571429,1759.142857142857
0,1719.0,7,204.96044898033142,166.3846153846154,1742.5
0,1710.5,3,132.85137391090393,35.7,1735.75
0,1707.0,2,105.88334131240845,190.5,1744.25
0,1728.5,8,280.05792450904846,124.4,1760.95
0,1708.5,3,146.64857530593872,87.6923076923077,1745.5
0,1726.5,1,146.17013788223267,171.14285714285714,1754.0714285714287
0,1716.5,0,62.52484059333801,133.23076923076923,1744.6153846153845
