,ep_best_fitness,gen_found_at,time_found_at,avg_waste,avg_cost
0,1780.5,3096,281.9578170776367,273.25493770890307,1790.6254937708902
0,1782.5,3021,282.7290382385254,295.6549251870324,1792.8654925187031
0,1797.5,652,243.95254683494568,458.83006535947715,1809.1830065359477
0,1793.0,1016,272.481422662735,418.3215258855586,1805.1321525885558
0,1801.0,741,291.32239866256714,507.8994708994709,1814.0899470899471
0,1783.5,3141,291.9167618751526,304.0338194228979,1793.7033819422898
0,1795.0,753,285.9335741996765,466.3076923076923,1809.9307692307693
0,1802.0,739,296.8836739063263,507.57200538358006,1814.057200538358
0,1783.5,3133,293.6502642631531,314.98748043818466,1794.7987480438185
0,1801.0,685,277.84124994277954,483.31361760660246,1811.6313617606602
0,1800.0,632,263.46852350234985,507.36879432624113,1814.0368794326241
0,1791.5,1023,294.87623858451843,405.32089552238807,1803.8320895522388
0,1790.5,973,276.1594614982605,416.83855650522315,1804.9838556505224
0,1794.0,943,275.9840648174286,426.43579766536965,1805.943579766537
0,1797.0,640,272.67320346832275,451.65991316931985,1808.4659913169319
0,1795.0,994,295.41035437583923,440.02450980392155,1807.3024509803922
0,1795.0,657,284.220388174057,447.307467057101,1808.03074670571
0,1794.0,999,295.4516134262085,440.1530214424951,1807.3153021442495
0,1797.5,644,296.43719840049744,493.7530487804878,1812.6753048780488
0,1793.5,1026,293.76603055000305,426.4377880184332,1805.9437788018433
0,1792.5,981,288.81466603279114,419.42817423540316,1805.2428174235404
0,1794.5,598,273.23074412345886,485.1393568147014,1811.8139356814702
0,1799.5,594,283.6654703617096,536.4953416149068,1816.9495341614906
0,1793.5,1061,298.69348216056824,444.98604651162793,1807.7986046511628
0,1801.0,631,296.7852008342743,526.3653250773993,1815.93653250774
0,1794.0,1048,294.77636885643005,436.8825654923216,1806.9882565492321
0,1794.0,971,286.98065423965454,426.8299015219338,1805.9829901521935
0,1793.5,1027,291.3969421386719,444.7374551971326,1807.7737455197132
0,1793.5,632,294.4694240093231,443.4307228915663,1807.6430722891566
0,1792.5,1123,299.8914647102356,436.6574733096085,1806.9657473309608
0,1793.0,1059,293.6349048614502,420.2460035523979,1805.3246003552397
0,1794.0,1054,294.2425172328949,435.85752688172045,1806.885752688172
0,1797.0,676,297.58357334136963,488.94050991501416,1812.1940509915014
0,1794.5,643,293.2315094470978,461.64088397790056,1809.46408839779
0,1795.0,821,299.9596300125122,464.33576642335765,1809.7335766423357
0,1791.0,726,295.57072019577026,419.21446700507613,1805.2214467005076
0,1796.0,754,299.6545298099518,511.0328947368421,1814.4032894736843
0,1802.5,741,297.96286487579346,523.8152454780362,1815.6815245478035
0,1793.0,753,298.00201869010925,431.7335025380711,1806.4733502538072
0,1796.0,794,298.9861624240875,461.27429274292746,1809.4274292742928
0,1785.5,1824,285.458114862442,340.05903866248696,1797.3059038662486
0,1791.0,888,272.51834630966187,417.27806925498425,1805.0278069254985
0,1789.0,1763,294.08931612968445,377.16120066703724,1801.0161200667037
0,1796.0,830,279.1737959384918,446.94880546075086,1807.9948805460751
0,1789.5,1614,260.0293002128601,360.4759068760152,1799.3475906876015
0,1798.0,857,286.3259723186493,492.2191011235955,1812.5219101123596
0,1790.0,1891,300.09869289398193,381.0111052353252,1801.4011105235325
0,1795.0,838,287.43519592285156,449.8596087456847,1808.2859608745684
0,1790.5,1841,294.163516998291,372.79617834394907,1800.5796178343949
0,1794.5,837,288.9486677646637,464.11226851851853,1809.711226851852
0,1793.5,1046,286.5832726955414,449.7138914443422,1808.2713891444341
0,1797.5,828,299.690057516098,484.2135102533172,1811.7213510253316
0,1793.5,990,291.3111650943756,459.92443572129537,1809.2924435721295
0,1793.0,1047,295.84665870666504,423.24197983501375,1805.6241979835013
0,1791.0,1052,298.43073773384094,404.5420560747664,1803.7542056074767
0,1797.5,782,293.92036294937134,523.2298136645962,1815.6229813664597
0,1787.5,1708,275.48863530158997,354.9341627786418,1798.7934162778643
0,1791.5,1004,298.10409116744995,421.00394477317553,1805.4003944773176
0,1787.0,1849,292.8319890499115,348.3803840166061,1798.1380384016607
0,1790.5,1017,299.9123158454895,419.5392927308448,1805.2539292730844
0,1793.0,973,296.73161268234253,403.16915422885575,1803.6169154228855
0,1794.0,731,279.80673909187317,462.54254007398276,1809.5542540073982
0,1793.0,979,296.0127477645874,443.51811949069537,1807.6518119490695
0,1793.5,950,294.1797857284546,429.42588932806325,1806.2425889328063
0,1795.5,1035,299.04608058929443,460.47846889952154,1809.347846889952
0,1795.5,756,287.979115486145,455.20245398773005,1808.820245398773
0,1793.0,770,289.41212272644043,434.8045838359469,1806.7804583835948
0,1794.5,1071,298.14372539520264,439.17490842490844,1807.2174908424909
0,1796.0,816,297.91079330444336,500.80095923261393,1813.3800959232615
0,1796.5,987,291.8647859096527,457.06481481481484,1809.0064814814814
0,1794.0,1102,296.3537039756775,425.9475982532751,1805.8947598253276
0,1795.0,884,297.21503710746765,452.6026058631922,1808.5602605863191
0,1795.5,900,299.4804844856262,496.18502202643174,1812.9185022026431
0,1795.5,922,299.5990195274353,460.7877155172414,1809.3787715517242
0,1794.0,1116,295.34776186943054,423.53683319221,1805.653683319221
0,1795.0,911,296.9698190689087,450.37526205450735,1808.3375262054508
0,1793.0,1005,286.057697057724,394.97217537942663,1802.7972175379427
0,1796.0,937,298.7298665046692,439.1689259645464,1807.2168925964547
0,1793.0,930,297.5258367061615,428.5808444902163,1806.1580844490215
0,1793.0,948,297.27592062950134,425.22759315206446,1805.8227593152064
0,1787.5,2164,290.3267877101898,356.8681858802502,1798.986818588025
0,1795.0,815,294.34400486946106,482.22342995169083,1811.522342995169
0,1788.0,2152,269.73924565315247,345.9807046979866,1797.8980704697988
0,1795.5,745,271.8611695766449,440.0569306930693,1807.305693069307
0,1786.0,2288,295.708101272583,354.4215053763441,1798.7421505376344
0,1793.5,750,272.05183696746826,425.00738007380073,1805.80073800738
0,1784.5,2233,280.57235836982727,324.2331519464211,1795.723315194642
0,1787.5,2305,292.0109293460846,350.9578947368421,1798.3957894736843
0,1783.5,2312,290.8399155139923,318.00961538461536,1795.1009615384614
0,1799.0,790,278.2816307544708,510.2061978545888,1814.3206197854588
0,1793.5,709,268.02941370010376,444.1902937420179,1807.7190293742017
0,1790.5,1198,296.61561489105225,406.53536184210526,1803.9535361842106
0,1798.0,749,297.8411190509796,474.26190476190476,1810.7261904761904
0,1800.0,696,282.19648122787476,501.7368421052632,1813.4736842105262
0,1790.0,1191,299.5706145763397,393.8006700167504,1802.680067001675
0,1790.0,1175,296.1348111629486,413.45416666666665,1804.6454166666667
0,1797.0,682,289.646546125412,471.84615384615387,1810.4846153846154
0,1791.5,1114,290.95170044898987,397.4599156118143,1803.0459915611814
0,1802.5,654,280.82682251930237,492.2314165497896,1812.5231416549789
0,1792.5,1192,299.8228828907013,438.8661087866109,1807.186610878661
0,1793.0,1150,291.1346015930176,406.15247364152475,1803.9152473641525
0,1791.5,1098,289.872132062912,393.9830508474576,1802.6983050847457
0,1794.5,708,299.33020520210266,459.05056179775283,1809.2050561797753
0,1790.5,1191,297.8339810371399,389.81429745275267,1802.2814297452753
0,1799.0,700,295.97565722465515,515.3691275167786,1814.8369127516778
0,1794.5,1157,295.89309763908386,429.80548628428926,1806.280548628429
0,1796.0,717,299.4533154964447,466.8613037447989,1809.98613037448
0,1792.5,756,299.16179871559143,424.75816993464053,1805.775816993464
0,1795.5,725,299.28131198883057,470.46311475409834,1810.34631147541
0,1795.5,1239,299.8723654747009,408.7042707493957,1804.1704270749397
0,1797.5,660,284.99919295310974,512.5997304582211,1814.559973045822
0,1792.5,1207,293.05377173423767,416.2056074766355,1804.9205607476636
0,1793.5,1262,295.52024483680725,416.86301369863014,1804.986301369863
0,1792.0,1231,295.6714611053467,408.59392049883087,1804.159392049883
0,1796.5,766,299.4470307826996,448.56774193548387,1808.1567741935485
0,1796.0,742,296.7909617424011,457.01262626262627,1809.0012626262626
0,1800.0,785,298.87700939178467,489.1232876712329,1812.2123287671234
0,1798.0,778,297.99314308166504,488.9396551724138,1812.1939655172414
0,1792.0,756,294.44930958747864,413.4639905548996,1804.64639905549
0,1793.5,817,298.94467067718506,422.2093301435407,1805.5209330143541
